num,sku,name,brand,att_set,price,deal_price,style,gender,shape,description,frame_height,frame_width,frame_colour
11,0OX5142Brown Black,Oakley 0OX5142 Small (Size-54) Brown Black 03 Unisex Eyeglasses ,Oakley,Eyeglasses,10890,8712,Half Rim,Unisex,Aviator,"b'An emblem of sophistication, these half-rimmed titanium Oakley 0OX5142 Small (Size-54) Brown Black 03 Unisex Eyeglasses make a subtle style statement. The best part - these rectangular eye frames go well with all kinds of outfits.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",45,136,Brown Black
12,OX5113Blue Black,Oakley OX5113 Large (Size-54) Blue Black 04 Unisex Eyeglasses ,Oakley,Eyeglasses,9390,7512,Half Rim,Unisex,Rectangle,"b'Stand out with these Oakley OX5113 Large (Size-54) Black 01 ,Unisex Eyeglasses. The sleek temples followed by Nanowire hinges give these rectangular half-rimmed silhouettes a sporty look. Make no compromise on comfort with adjustable air-cushioned nose pads and the firm grip of unobtainium earsocks.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",33,132,Blue Black
13,OX8047Grey Transparent,Oakley Ox8047 Medium (Size-52) Grey Transparent 02 Unisex Eyeglasses ,Oakley,Eyeglasses,6090,4872,Full Rim,Unisex,Rectangle,"b'A trendy style inspired from the past that reflects the perfect blend of vintage influence with the urban touch. Bring home these marvellous rectangular frames from Oakley and pep up your personality with charisma and dynamism. Show your attitude to the fullest to the world and let the people envy you for the unique style sense you carry in these retro-frames. Live a life never lived before, in style!\n\n3 DECIMAL TESTED\nEach eyeglass manufactured by Lenskart goes through 3 decimal testing (3D testing) performed by MEI machines. For the first time in India, this robotic technology from Germany creates micro-precision lenses which are accurate to 3 decimal places. No rounding off.\nMADE BY ROBOTS\n\n\nLenses are cut by robotic machines using German technologies leaving no room for human error.\nEdging of lenses by MEI machines that provide lenses accurate to 3 decimal places\nAspheric, Anti-Glare & Super Hydrophobic Lens with Robotic Inspection\n\n\nFRESH OUT OF THE OVEN\nNo middlemen simply means no extra cost. Our products come straight from us, the manufacturer, to you hence eliminating all extra costs added by layers of middlemen. So, you pay the lowest cost for the best quality.\nLENSKART VS LOCAL OPTICIAN\n\n\nAccuracy : Our lenses are accurate to 3 decimal places, however local opticians usually round the power off.\nQuality : Imported material with 7-layer polishing material.\nTrust : No local optician has 14 day return policy and 1 year warranty like we do\nVariety : The largest variety under one roof in India : 3000+ styles Imported material with 7-layer polishing material.\nValue : Unbeatable prices for the best quality\n\n\nLenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",32,,Grey Transparent
14,0OX5142Brown Black,Oakley 0OX5142 Small (Size-54) Brown Black 03 Unisex Eyeglasses ,Oakley,Eyeglasses,10890,8712,Half Rim,Unisex,Aviator,"b'An emblem of sophistication, these half-rimmed titanium Oakley 0OX5142 Small (Size-54) Brown Black 03 Unisex Eyeglasses make a subtle style statement. The best part - these rectangular eye frames go well with all kinds of outfits.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",45,136,Brown Black
15,OX5113Blue Black,Oakley OX5113 Large (Size-54) Blue Black 04 Unisex Eyeglasses ,Oakley,Eyeglasses,9390,7512,Half Rim,Unisex,Rectangle,"b'Stand out with these Oakley OX5113 Large (Size-54) Black 01 ,Unisex Eyeglasses. The sleek temples followed by Nanowire hinges give these rectangular half-rimmed silhouettes a sporty look. Make no compromise on comfort with adjustable air-cushioned nose pads and the firm grip of unobtainium earsocks.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",33,132,Blue Black
16,OX8047Grey Transparent,Oakley Ox8047 Medium (Size-52) Grey Transparent 02 Unisex Eyeglasses ,Oakley,Eyeglasses,6090,4872,Full Rim,Unisex,Rectangle,"b'A trendy style inspired from the past that reflects the perfect blend of vintage influence with the urban touch. Bring home these marvellous rectangular frames from Oakley and pep up your personality with charisma and dynamism. Show your attitude to the fullest to the world and let the people envy you for the unique style sense you carry in these retro-frames. Live a life never lived before, in style!\n\n3 DECIMAL TESTED\nEach eyeglass manufactured by Lenskart goes through 3 decimal testing (3D testing) performed by MEI machines. For the first time in India, this robotic technology from Germany creates micro-precision lenses which are accurate to 3 decimal places. No rounding off.\nMADE BY ROBOTS\n\n\nLenses are cut by robotic machines using German technologies leaving no room for human error.\nEdging of lenses by MEI machines that provide lenses accurate to 3 decimal places\nAspheric, Anti-Glare & Super Hydrophobic Lens with Robotic Inspection\n\n\nFRESH OUT OF THE OVEN\nNo middlemen simply means no extra cost. Our products come straight from us, the manufacturer, to you hence eliminating all extra costs added by layers of middlemen. So, you pay the lowest cost for the best quality.\nLENSKART VS LOCAL OPTICIAN\n\n\nAccuracy : Our lenses are accurate to 3 decimal places, however local opticians usually round the power off.\nQuality : Imported material with 7-layer polishing material.\nTrust : No local optician has 14 day return policy and 1 year warranty like we do\nVariety : The largest variety under one roof in India : 3000+ styles Imported material with 7-layer polishing material.\nValue : Unbeatable prices for the best quality\n\n\nLenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",32,,Grey Transparent
17,0OX5143Black,Oakley 0OX5143 Large (Size-51) Black 01 Unisex Eyeglasses ,Oakley,Eyeglasses,10890,8712,Rimless,Unisex,Round,"b'Oakley 0OX5143 Large (Size-51) Black 01 Unisex EyeglassesLenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",47,,Black
18,OX3133Matte Gunmetal,Oakley OX3133 TOP SPINNER SEMI-RIM Size:53 O3 Eyeglasses ,Oakley,Eyeglasses,6090,4872,Half Rim,Unisex,Rectangle,"b'Weightless Oakley OX3133 TOP SPINNER SEMI-RIM Size:53 O3 Eyeglasses are ideal for a polished, professional look. And the half-rimmed matte gunmetal toned frames are versatile when it comes to matching them with your outfit.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",29,135,Matte Gunmetal
19,OX8093Matte Grey Transparent Black,Oakley OX8093 Small (Size-49) Matte Grey Transparent Black 02 Unisex Eyeglasses ,Oakley,Eyeglasses,6090,4872,Full Rim,Unisex,Wayfarer,"b'Oakley OX8093 Small (Size-49) Matte Grey Transparent Black 02 Unisex EyeglassesLenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",40,135,Matte Grey Transparent Black
20,OX5113Black,Oakley OX5113 Large (Size-54) Black 01 Unisex Eyeglasses ,Oakley,Eyeglasses,9390,7512,Half Rim,Unisex,Rectangle,"b'Stand out with these Oakley OX5113 Large (Size-54) Black 01 Unisex Eyeglasses. The sleek temples followed by Nanowire hinges give these rectangular half-rimmed silhouettes a sporty look. Make no compromise on comfort with adjustable air-cushioned nose pads and the firm grip of unobtainium earsocks.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",33,136,Black
21,CARRERA 206/GGunmetal Black,Carrera 206/G Small (Size-48) Tortoise Gunmetal Black 581 Unisex Eyeglasses ,Carrera,Eyeglasses,7900,5530,Full Rim,Unisex,Round,"b'Carrera 206/G Small (Size-48) Tortoise Gunmetal Black 581 Unisex Eyeglasses with stainless steel temples sits around the head as securely as a headband and bestow you with a comfortable wearing experience.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",42,141,Gunmetal Black
22,CARRERA 157/VGolden Tortoise,Carrera 157/V Small (Size-48) Golden Black Golden Tortoise RHL Unisex Eyeglasses ,Carrera,Eyeglasses,7400,5180,Full Rim,Unisex,Round,"b""It's time to give your looks an uber-upgrade with Carrera 157/V Small (Size-48) Golden Black Golden Tortoise RHL Unisex Eyeglasses.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands""",45,134,Golden Tortoise
23,CARRERA 159/V/FBlack,Carrera 159/V/F Small (Size-50) Silver Black 807 Unisex Eyeglasses ,Carrera,Eyeglasses,7400,5180,Full Rim,Unisex,Rectangle,"b'Carrera 159/V/F Small (Size-50) Silver Black 807 Unisex Eyeglasses are designed for the metropolitan creatives who strives to look moralistic and proper at work.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",43,138,Black
24,CARRERA 161/V/FBlack,Carrera 161/V/F Small (Size-49) Silver Black 807 Unisex Eyeglasses ,Carrera,Eyeglasses,7900,5530,Full Rim,Unisex,Club Master,"b'Want to look eclectic at gatherings? Then opt these Carrera 161/V/F Small (Size-49) Silver Black 807 Unisex Eyeglasses.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",42,137,Black
25,CA6630Black,Carrera CA6630 Large (Size-54) Black 003 Unisex Eyeglasses ,Carrera,Eyeglasses,6900,4830,Full Rim,Unisex,Rectangle,"b'Carrera CA6630 Large (Size-54) Black 003 Unisex EyeglassesLenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",33,135,Black
26,2002T/VMatte Black,Carrera 2002T/V Small (Size-51) Matte Black 003 Unisex Eyeglasses ,Carrera,Eyeglasses,4900,3430,Full Rim,Unisex,Aviator,"b'Carrera 2002T/V Small (Size-51) Matte Black 003 Unisex EyeglassesLenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",43,,Matte Black
27,CA6645Tortoise,Carrera CA6645 Small (Size-47) Black Golden Tortoise 2M2 Unisex Eyeglasses ,Carrera,Eyeglasses,4400,3080,Full Rim,Unisex,Round,"b'There are days when you just do no\xc2\x99t feel the need to dress up for work or other things and then there are days when you go all out with your makeup, the dress, the accessories etc. But majority of the time, you wish you had a genie to prep you up for the day! (I know I do) These Carrera CA6645 Small (Size-47) Black Golden Tortoise 2M2 Unisex Eyeglasses are perfect for the days you want to go low-key with your outfit and makeup, but still want to look stylish.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",42,136,Tortoise
28,8829/VMatte Black,Carrera 8829/V Small (Size-49) Black Matte Black 807 Unisex Eyeglasses ,Carrera,Eyeglasses,7400,5180,Full Rim,Unisex,Round,"b'The round full-rimmed frames of this particular pair of glasses add a quirky feel. Hence the Carrera 8829/V Small (Size-49) Black Matte Black 807 Unisex Eyeglasses are perfect for hipsters and folks who like to dress a little whimsical. The frames are made of acetate, which makes them light in weight, in addition to the rubberized temples, making them comfortable and offering good grip. These are certainly ideal for daily wear because of the simple design and matte black color of the frames that would look good with essentially any kind of clothing, casual or formal.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",44,136,Matte Black
29,145/VTortoise,Carrera 145/V Small (Size-49) Tortoise 086 Unisex Eyeglasses ,Carrera,Eyeglasses,7400,5180,Full Rim,Unisex,Round,"b'Look dazzling in Carrera 145/V Small (Size-49) Tortoise 086 Unisex Eyeglasses. Carry these eyeglasses with denim jeans and informal shirt to keep it trendy. The acetate body of these eyeglasses makes them lightweight and durable.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",43,137,Tortoise
30,CARRERA 194/GGunmetal Tortoise,Carrera 194/G Medium (Size-50) Gunmetal Tortoise V81 Unisex Eyeglasses ,Carrera,Eyeglasses,7900,5530,Full Rim,Unisex,Round,"b'The Carrera 194/G Medium (Size-50) Gunmetal Tortoise V81 Unisex Eyeglasses are full-rimmed and round-shaped. There is a blend of quirkiness in the shape, which is contrasted with the gunmetal-colored frames that give off a slightly serious tone. The frames and temples are made of stainless steel so there is no issue of corrosion or allergies for anyone who wears them. The ear pieces are in tortoiseshell pattern, which gives it a slight edge and a trendy look. You can wear these with your jeans or crisp shirts to give off a simple but classy vibe.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",48,132,Gunmetal Tortoise
31,144/VTortoise,Carrera 144/V Medium (Size-52) Black Tortoise 2M2 Unisex Eyeglasses ,Carrera,Eyeglasses,7400,5180,Full Rim,Unisex,Wayfarer,"b'These glasses are indeed clean and crisp. Just a glance at the Carrera 144/V Medium (Size-52) Black Tortoise 2M2 Unisex Eyeglasses, and you would immediately feel the sophistication that the details bring out. The tortoiseshell pattern on the frames has a warm and stylish feel, making them perfect for daily wear. The interesting detail on the hinges makes it look elegant with a dab of masculinity due to the shape of the frames. You can wear these with denim pants and striped shirts to create a fresh yet casual overall ensemble that will surely impress others.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",42,137,Tortoise
32,156/VBrown Golden,Carrera 156/V Small (Size-49) Black Brown Golden 807 Unisex Eyeglasses ,Carrera,Eyeglasses,7400,5180,Full Rim,Unisex,Wayfarer,"b'Get the vintage wayfarer Carrera 156/V Small (Size-49) Black Brown Golden 807 Unisex Eyeglasses with a pinch of modishness in them. Made with acetate front and stainless steel temples these eyeglasses look cool.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",42,138,Brown Golden
33,CA9920Black,Carrera CA9920 Large (Size-57) Blue Transparent Black T1X Unisex Eyeglasses ,Carrera,Eyeglasses,3900,2730,Full Rim,Unisex,Rectangle,"b'Carrera Eyeglasses make their own performance. The top-quality frames with top indent designs add grace and sophistication to the ordinary ones and then transform them to an exceptional piece. So is this pair of Carrera CA9920 Large (Size-57) Blue Transparent Black T1X Unisex Eyeglasses. They are stylish, smart and all that you have been looking for.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",39,144,Black
34,CARRERA 137/VTortoise Golden,Carrera 137/V Small (Size-53) Tortoise Golden 2IK Unisex Eyeglasses ,Carrera,Eyeglasses,7900,5530,Full Rim,Unisex,Aviator,"b'Carrera 137/V Small (Size-53) Tortoise Golden 2IK Unisex EyeglassesLenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",41,138,Tortoise Golden
35,Carrera 180/FSilver Tortoise,Carrera 180/F Medium (Size-50) Silver Tortoise 010 Unisex Eyeglasses ,Carrera,Eyeglasses,6900,4830,Full Rim,Unisex,Hexagonal,"b'This thin full-framed pair of specs has a very elegant vibe. They are in a hexagonal style frame, which makes it a little quirky as well. The end pieces have a tortoiseshell pattern that adds a playful feel to this particular pair. The Carrera 180/F Medium (Size-50) Silver Tortoise 010 Unisex Eyeglasses will help you to fashionably enhance your professional as well as casual attire. They frames are made of stainless steel so the overall look is quite sleek. They look best when paired with plaid shirts or polo shirts as they would give a comfortable and effortless feel to your overall outfit.Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",45,129,Silver Tortoise
36,170/VBlack,Carrera 170 Medium (Size-51) Black 807 Unisex Eyeglasses ,Carrera,Eyeglasses,6400,4480,Full Rim,Unisex,Oval,"b'The Carrera 170 Medium (Size-51) Black 807 Unisex Eyeglasses have an interesting design which makes it ideal for people who do not want to settle with minimal spectacles. The frames and the sleek temples on this particular pair give a sophisticated but vibrant feel. The frames are made of acetate, which gives durability and comfort due to its light weight. You would be able to use these glasses as a decorative accessory if you wear then with your casual white or black tees. Lenses shaped by hand (risk of human error)Prices vary depending on power of lensesNo warranty on lenses50% higher prices than Lenskart (on average)Limited selection of frames in stockLenses shaped by laser precision machinesSame price no matter what your power1 year warranty on all lenses50% lower prices than local optician (on average)5,000 frames in stock in a range of styles and brands'",42,137,Black
